ARQUITETURA DE COMPUTADORES,BANCO DE DADOS,BANCOS DE DADOS RELACIONAIS,CIRCUITOS DIGITAIS,COMPILADORES,COMPUTAÇÃO GRÁFICA,CÁLCULO DIFERENCIAL E INTEGRAL I,CÁLCULO DIFERENCIAL E INTEGRAL II,ELETRICIDADE E MAGNETISMO,EMPREENDEDORISMO,ENGENHARIA DE SOFTWARE I,ENGENHARIA DE SOFTWARE II,ESTRUTURAS DE DADOS,ESTÁGIO SUPERVISIONADO,FLUXOS EM REDES,INFORMÁTICA E SOCIEDADE,INGLÊS TÉCNICO E CIENTÍFICO,INTELIGÊNCIA ARTIFICIAL,INTERFACE HUMANO COMPUTADOR,INTRODUÇÃO À LÓGICA,INTRODUÇÃO À METODOLOGIA CIENTÍFICA,LABORATÓRIO DE PROGRAMAÇÃO,LINGUAGENS DE PROGRAMAÇÃO,MATEMÁTICA DISCRETA,MÉTODOS NUMÉRICOS,PROBABILIDADE E ESTATÍSTICA,PROCESSAMENTO DE LINGUAGEM NATURAL,PROCESSAMENTO DIGITAL DE IMAGENS,PROGRAMAÇÃO ESTRUTURADA,PROGRAMAÇÃO FUNCIONAL,PROGRAMAÇÃO LINEAR,PROGRAMAÇÃO ORIENTADA A OBJETOS,PROJETO E ANÁLISE DE ALGORITMOS,REDES DE COMPUTADORES,REDES DE COMUNICAÇÃO SEM FIO,REDES NEURAIS ARTIFICIAIS,"RELAÇÕES ÉTNICO-RACIAIS, GÊNERO E DIVERSIDADE",SEGURANÇA EM SISTEMAS,SEMINÁRIOS DE INTRODUÇÃO AO CURSO,SISTEMAS DISTRIBUÍDOS,SISTEMAS EMBARCADOS,SISTEMAS OPERACIONAIS,TEORIA DA COMPUTAÇÃO,TEORIA E APLICAÇÕES EM GRAFOS,TRABALHO DE CONCLUSÃO DE CURSO I - TCC I,TRABALHO DE CONCLUSÃO DE CURSO II - TCC II,TRABLO DE CONCLUSÃO DE CURSO II - TCC II,TÓPICOS EM ARQUITETURA DE COMPUTADORES,TÓPICOS EM BIOINFORMÁTICA,TÓPICOS EM COMPUTAÇÃO APLICADA,TÓPICOS EM ENGENHARIA DE SOFTWARE,TÓPICOS EM PROGRAMAÇÃO,TÓPICOS EM REDES DE COMPUTADORES,TÓPICOS EM SISTEMAS COMPUTACIONAIS,VISÃO COMPUTACIONAL,ÁLGEBRA LINEAR
2.3333333333333335,9.666666666666666,,9.033333333333333,7.333333333333333,8.333333333333334,9.333333333333334,9.266666666666667,8.333333333333334,,7.733333333333333,9.166666666666666,8.9,,,9.0,9.200000000000001,7.033333333333334,9.700000000000001,9.799999999999999,9.166666666666666,9.433333333333334,10.0,7.333333333333333,,9.1,8.833333333333334,7.966666666666666,7.566666666666667,,7.733333333333333,10.0,7.400000000000001,7.766666666666667,,,,8.633333333333333,10.0,9.0,8.6,7.333333333333333,7.833333333333333,9.866666666666667,,,,,8.333333333333334,,8.633333333333333,,,,,7.5
7.066666666666666,9.166666666666666,8.5,8.533333333333333,7.033333333333334,7.166666666666667,7.1000000000000005,6.233333333333333,,,7.066666666666666,8.433333333333334,5.966666666666666,,,9.666666666666666,9.166666666666666,6.7,8.5,9.166666666666666,9.666666666666666,7.8,7.1000000000000005,7.666666666666667,,7.0,,7.133333333333333,7.166666666666667,,1.3333333333333333,6.133333333333333,5.933333333333334,7.366666666666667,,,9.0,6.7,9.3,9.733333333333333,8.5,7.666666666666667,8.266666666666667,9.466666666666667,,,,,10.0,,,,,,8.433333333333332,7.0
7.0,9.833333333333334,9.333333333333334,7.5,7.266666666666667,8.700000000000001,6.333333333333333,8.133333333333333,,9.066666666666666,7.333333333333333,8.133333333333335,8.033333333333333,9.5,,7.5,7.7,6.966666666666666,8.033333333333333,6.966666666666666,8.333333333333334,9.200000000000001,6.6000000000000005,7.0,,5.8,,7.333333333333333,5.166666666666667,5.933333333333334,7.666666666666667,9.166666666666666,7.833333333333333,8.133333333333333,,,9.0,6.466666666666666,9.0,6.166666666666667,7.0,7.433333333333333,7.0,8.333333333333334,10.0,9.0,,7.0,5.1000000000000005,8.566666666666666,8.333333333333334,,9.866666666666667,,,8.266666666666666
7.466666666666666,8.666666666666666,7.1000000000000005,7.433333333333334,7.1000000000000005,6.433333333333334,8.633333333333333,7.466666666666666,,,8.566666666666666,7.666666666666667,8.733333333333333,,9.833333333333334,7.400000000000001,9.766666666666667,4.666666666666667,9.266666666666667,8.433333333333334,7.933333333333334,7.766666666666667,7.133333333333333,7.0,,9.1,8.4,7.266666666666667,8.233333333333334,,8.6,7.566666666666666,7.666666666666667,8.233333333333333,,,9.0,6.133333333333333,8.0,8.166666666666666,,7.666666666666667,5.8999999999999995,9.666666666666666,,,,,10.0,,7.866666666666667,6.2,9.966666666666667,,6.5,2.5
,,,9.933333333333334,7.866666666666667,5.666666666666667,8.766666666666667,,,,6.466666666666666,5.433333333333334,8.333333333333334,,,8.8,10.0,7.6000000000000005,,9.833333333333334,7.966666666666666,9.733333333333333,6.133333333333333,7.0,,,,5.166666666666667,6.633333333333333,,6.333333333333333,8.700000000000001,7.033333333333334,5.366666666666667,,,,3.9,10.0,7.3999999999999995,7.366666666666667,6.2,3.733333333333333,,,,,5.3999999999999995,6.3999999999999995,,8.366666666666667,6.666666666666667,,,6.433333333333334,
2.3333333333333335,9.666666666666666,10.0,9.366666666666667,7.933333333333333,8.966666666666667,8.666666666666666,9.3,,,7.8999999999999995,9.166666666666666,8.766666666666667,,,9.1,9.200000000000001,7.133333333333333,9.799999999999999,9.766666666666667,10.0,8.4,9.666666666666666,7.333333333333333,,9.166666666666666,9.166666666666666,8.6,9.1,8.5,7.966666666666666,8.333333333333334,7.599999999999999,8.1,,,,7.566666666666666,9.3,9.633333333333333,9.666666666666666,8.1,8.1,9.6,,,,,8.166666666666666,,8.799999999999999,,9.266666666666667,,,7.766666666666667
6.666666666666667,9.333333333333334,7.033333333333334,8.733333333333333,,7.766666666666667,7.833333333333333,9.200000000000001,,,4.733333333333333,8.833333333333334,7.333333333333333,,,9.1,8.433333333333334,7.766666666666667,9.200000000000001,9.166666666666666,8.666666666666666,5.766666666666667,4.333333333333333,7.333333333333333,,7.466666666666666,8.4,5.933333333333334,4.733333333333333,,6.3,9.333333333333334,6.966666666666666,5.733333333333334,,,,6.966666666666666,8.7,8.0,,9.666666666666666,0.0,7.5,,,,,,,9.5,,9.266666666666667,,8.333333333333334,4.333333333333333
7.0,9.5,6.0,9.133333333333333,8.133333333333333,10.0,9.333333333333334,9.299999999999999,,,6.633333333333333,9.333333333333334,8.966666666666667,,,9.0,9.933333333333334,8.266666666666667,9.6,9.766666666666667,9.333333333333334,7.766666666666667,8.666666666666666,7.333333333333333,,8.966666666666667,,8.733333333333334,0.0,9.1,8.666666666666666,5.333333333333333,7.3,5.966666666666666,,,,7.833333333333333,10.0,9.433333333333334,9.5,5.866666666666667,8.866666666666667,9.833333333333334,,,,,9.0,,,,9.433333333333334,,8.1,2.9
9.0,9.333333333333334,8.166666666666666,9.633333333333333,8.666666666666666,9.333333333333334,8.433333333333334,8.200000000000001,,,9.233333333333333,8.299999999999999,9.966666666666667,10.0,8.433333333333334,9.0,8.366666666666665,7.533333333333334,9.5,10.0,8.333333333333334,9.666666666666666,7.966666666666666,7.333333333333333,,9.166666666666668,9.366666666666667,7.866666666666666,9.266666666666666,9.833333333333334,8.0,9.766666666666667,9.466666666666667,9.5,,9.333333333333334,,7.666666666666667,10.0,7.933333333333334,10.0,8.566666666666668,7.133333333333333,9.5,10.0,10.0,,,8.0,,9.233333333333333,,10.0,,9.0,8.866666666666667
2.3333333333333335,9.666666666666666,,9.833333333333334,7.433333333333333,8.700000000000001,8.299999999999999,8.5,,,7.0,9.166666666666666,8.933333333333334,,,9.0,7.5,7.566666666666666,9.666666666666666,9.9,8.0,9.433333333333334,10.0,7.333333333333333,,8.766666666666667,,7.733333333333333,0.0,,7.833333333333333,10.0,7.333333333333333,7.433333333333333,7.733333333333333,,,7.966666666666668,10.0,9.666666666666666,8.0,9.5,6.233333333333333,9.933333333333334,,,,,9.166666666666666,,,,9.533333333333333,,,7.166666666666667
